participant,gambno,opta,optb,pa1,pa2,pb1,pb2,type,choice,group,sex,wtpamount_opta,wtpamount_optb,oa1,ob1,CV.A,CV.B,CVhigh,CVdiff,CVchoice,EV.A,EV.B,EVhigh,EVdiff,EVlogdiff,EVchoice
55a28851fdf99b602e6b05dd,1,Hallucinations,Fatigue,0.5,0.5,0.97,0.03,medchoice,0,old,Female,-70,-15,-70,-15,5.916079783,0.670820393,1,5.24525939,0,-35,-14.55,0,-20.45,3.017982882,1
55a28851fdf99b602e6b05dd,1,Hallucinations,Fatigue,0.5,0.5,0.97,0.03,monchoice,0,old,Female,-70,-15,-70,-15,5.91608,0.6708204,1,5.245259,0,-35,-14.55,0,-20.45,3.017983,1
55a28851fdf99b602e6b05dd,2,Fatigue,Depression,0.98,0.02,0.35,0.65,medchoice,1,old,Female,-15,-35,-15,-35,0.547722558,4.769696007,0,-4.22197345,0,-14.7,-12.25,0,-2.45,0.896088025,0
55a28851fdf99b602e6b05dd,2,Fatigue,Depression,0.98,0.02,0.35,0.65,monchoice,0,old,Female,-15,-35,-15,-35,0.5477226,4.769696,0,-4.221973,1,-14.7,-12.25,0,-2.45,0.896088,1
55a28851fdf99b602e6b05dd,3,Fatigue,Depression,0.98,0.02,0.55,0.45,medchoice,1,old,Female,-15,-35,-15,-35,0.547722558,3.968626967,0,-3.420904409,0,-14.7,-19.25,1,4.55,1.515127233,1
55a28851fdf99b602e6b05dd,3,Fatigue,Depression,0.98,0.02,0.55,0.45,monchoice,0,old,Female,-15,-35,-15,-35,0.5477226,3.968627,0,-3.420904,1,-14.7,-19.25,1,4.55,1.515127,0
55a28851fdf99b602e6b05dd,4,Itching,Insomnia,0.5,0.5,0.98,0.02,medchoice,1,old,Female,-7,-10,-7,-10,1.870828693,0.447213595,1,1.423615098,1,-3.5,-9.8,1,6.3,1.840549633,1
55a28851fdf99b602e6b05dd,4,Itching,Insomnia,0.5,0.5,0.98,0.02,monchoice,1,old,Female,-7,-10,-7,-10,1.870829,0.4472136,1,1.423615,1,-3.5,-9.8,1,6.3,1.84055,1
55a28851fdf99b602e6b05dd,5,Insomnia,Itching,0.98,0.02,0.7,0.3,medchoice,0,old,Female,-10,-7,-10,-7,0.447213595,1.449137675,0,-1.001924079,1,-9.8,-4.9,0,-4.9,1.589235205,1
55a28851fdf99b602e6b05dd,5,Insomnia,Itching,0.98,0.02,0.7,0.3,monchoice,0,old,Female,-10,-7,-10,-7,0.4472136,1.449138,0,-1.001924,1,-9.8,-4.9,0,-4.9,1.589235,1
55a28851fdf99b602e6b05dd,6,Memory Loss,Itching,0.45,0.55,0.98,0.02,medchoice,0,old,Female,-75,-7,-75,-7,6.422616289,0.374165739,1,6.048450551,0,-33.75,-6.86,0,-26.89,3.29175447,1
55a28851fdf99b602e6b05dd,6,Memory Loss,Itching,0.45,0.55,0.98,0.02,monchoice,1,old,Female,-75,-7,-75,-7,6.422616,0.3741657,1,6.048451,1,-33.75,-6.86,0,-26.89,3.291754,0
55a28851fdf99b602e6b05dd,7,Memory Loss,Itching,0.56,0.44,0.98,0.02,medchoice,0,old,Female,-75,-7,-75,-7,5.744562647,0.374165739,1,5.370396908,0,-42,-6.86,0,-35.14,3.559340083,1
55a28851fdf99b602e6b05dd,7,Memory Loss,Itching,0.56,0.44,0.98,0.02,monchoice,0,old,Female,-75,-7,-75,-7,5.744563,0.3741657,1,5.370397,0,-42,-6.86,0,-35.14,3.55934,1
55a28851fdf99b602e6b05dd,8,Slurred Speech,Diarrhea,0.93,0.07,0.6,0.4,medchoice,0,old,Female,-45,-5,-45,-5,1.774823935,1.414213562,1,0.360610373,0,-41.85,-3,0,-38.85,3.659708077,1
55a28851fdf99b602e6b05dd,8,Slurred Speech,Diarrhea,0.93,0.07,0.6,0.4,monchoice,0,old,Female,-45,-5,-45,-5,1.774824,1.414214,1,0.3606104,0,-41.85,-3,0,-38.85,3.659708,1
55a28851fdf99b602e6b05dd,9,Itching,Fever,0.96,0.04,0.5,0.5,medchoice,0,old,Female,-7,-20,-7,-20,0.529150262,3.16227766,0,-2.633127398,1,-6.72,-10,1,3.28,1.187843422,0
55a28851fdf99b602e6b05dd,9,Itching,Fever,0.96,0.04,0.5,0.5,monchoice,0,old,Female,-7,-20,-7,-20,0.5291503,3.162278,0,-2.633127,1,-6.72,-10,1,3.28,1.187843,0
